,Title,Date,Ship,Ship_category,Summary,Language,Word_Count,Comments,Chapters,Kudos,Bookmarks,Hits
439,As Time Passes,2018,Draco Malfoy/Harry Potter,M/M,"It wasn’t until Harry was six that he felt his hand start to burn and he knew that the Dursleys had lied to him! The unbearable pain was the sign of a soulmate bond forming. Harry grows up imagining everything about his soulmate, who would they be and what kind of person they were. Just who was Draco Malfoy?Draco was used to people pitying him because they believe his soulmate is a muggle. He doesn't care what they think. He will love whoever Harry Potter is. First, he just has to find him.",English,"32,816",468,3/3,"9,814","1,575","147,734"
440,The Nightmare Club,2018,Draco Malfoy/Harry Potter,M/M,"Hermione and Ron are going back to Hogwarts to do N.E.W.T.s, Ginny isn't. Harry hasn't decided, until he has, in front of the Wizengamot and now he's responsible for Malfoy as well. A tale of enemies who learn to get along, get it wrong and get it on. Everything is purple, some things are on fire and no-one is sleeping properly. But don't worry, there's tea!",English,"85,072","1,335",16/16,"9,799","2,772","175,410"
441,Lift Your Open Hand,2016,Draco Malfoy/Harry Potter,M/M,"With Draco Malfoy as his assigned partner for the next six weeks of Auror training, Harry had been prepared for things to go poorly. But getting themselves accidentally bonded to each other in the first twenty minutes of their very first assignment seemed going above and beyond, even for them.",English,"18,752",331,1/1,"9,789","1,785","120,638"
442,Edible Smudges and Insufferable Potters (and Insufferable Smudges and Edible Potters),2012,Draco Malfoy/Harry Potter,M/M,"I'm embarrassed to say that the title summarises the fic perfectly. But let me try something else: All Draco wants to do is study. That's what libraries are for. Study History of Magic, that is. NotPotter.",English,"2,217",102,1/1,"9,756","1,096","88,872"
443,For The Greater Good,2017,Draco Malfoy/Harry Potter,M/M,"When Harry and Draco discover they’ve been bonded to one another, neither one of them is prepared for the secrets they slowly begin to uncover.Together, they learn that they can’t escape their past, or the things that have been left hidden there, and that sometimes the only way to move forward is to look back.",English,"59,246",823,9/9,"9,746","2,638","152,293"
444,It Was All Just a Game (Rewrite),2021,Draco Malfoy/Harry Potter,M/M,"If there's one thing that Draco Malfoy yearns for, it's seeing Harry Potter in pain. How that happens, he doesn't care. When Potter's name is pulled out of the Goblet of Fire, Draco sees it as the perfect opportunity to fulfill his greatest desire. Except Saint Potter has luck swimming in his veins. He needs to be distracted... And the best way to do that is to make him fall in love.THIS IS THE REWRITTEN VERSION AND THE PREFERRED VERSION FOR YOU TO READ.",English,"616,512","1,976",83/83,"9,739","3,221","614,250"
445,To Be Set Free,2016,Harry Potter/Tom Riddle,M/M,"Harry Potter, raised and abused by the Dursleys ever since his parents died, lives in the cupboard under the stairs. He has no friends or family who love him and his life is dull until one day a letter arrives arrives for him, written in green ink, that promises freedom. Sounds familiar, right?King Thomas Riddle's illness combined with his political paranoia pushes him to arrange three royal balls, after which his son, Prince Tom Riddle, must choose a guest to marry, thereby securing the kingdom's future and solidifying their strength in the eyes of their allies/enemies. Tom is convinced that he will be able to defy his father and chooseno-one, or at least he is until at the first ball he meets an attractive stranger with dark hair and glasses who won't tell anyone his name...",English,"35,831",797,14/14,"9,735","2,199","124,331"
446,You're All I Have,2022,Harry Potter/Charlie Weasley,F/M,"A piece of Voldemort's soul attached to baby Harry Potter that fateful Halloween night. Over the years, the soul piece witnessed how much danger and pain his host was in. How far would the soul go to protect the child he began to care for, especially when the boy started to care for him in return? Oh, just a little over-protective care, some magic training, maybe some necromancy...",English,"228,691","1,002",49/49,"9,721","3,767","276,542"
447,Sacrificial Snake,2019,Harry Potter/Blaise Zabini,M/M,"Harry is finally free of the curse that made him able to speak only Parseltongue for thirteen months. Fresh from a summer in Florence with Blaise and the destruction of the Horcrux in his scar, he returns to Britain, ready to prove to everyone that yes, he really is in love with a Slytherin and no, he doesn’t need to be a sacrifice.",English,"20,066",210,4/4,"9,713",819,"79,978"
448,The Tortoise and The Hare,2021,Harry Potter & Tom Riddle,Gen,Harry goes back in time to raise a young Tom Riddle - except Voldemort gets there first.(Tom is left in the dubious care of two not-fathers who occasionally try to kill each other.),English,"4,861",279,2/2,"9,703","2,227","62,601"
449,Second Heat,2015,Draco Malfoy/Harry Potter,M/M,"The war is over, Voldemort is dead, and Harry has his Alpha wrapped around his little finger. So when his body goes into its second heat, it should have been good. Easier, even, this time around. But since when is anything ever easy for Harry Potter?",English,"26,429",527,5/5,"9,691","1,003","196,788"
450,Second Life,2008,Hermione Granger/Severus Snape,F/M,"Hermione is forced to lead a double life when she agrees to Dumbledore's plan to protect Professor Snape. Follows a (mostly) canonical timeline through books 6 and 7. Warning for student/teacher relationship, though Hermione is of age.",English,"231,591","1,032",48/48,"9,689","2,550","316,936"
451,The Earl,2016,Draco Malfoy/Harry Potter,M/M,"It only takes Draco a few seconds to realize the bit of fuzz has yellow eyes and is very much alive.Draco narrows his eyes. “That is not a scarf,” he says.",English,"3,170",203,1/1,"9,677",802,"74,223"
452,Regulus Black and the What the Hell,2023,Regulus Black & Harry Potter,Gen,"Four-year-old Luna has been able to see lights her whole life- and when both of her parents die in an explosive magical accident, she decides to grab on to one of the lights and follow it.Meanwhile, Regulus Black has never really thought of himself as the parental sort- he's hardly interacted with a child in his life, much less raised one. But when two magically inexplicable orphans show up and somehow resurrect him- well, what else was he supposed to do? Not immediately adopt them? Yeah, right.(Features little Luna and Harry adopting each other as siblings and Regulus being in way, way over his head)",English,"31,308","1,004",21/21,"9,651","2,657","91,598"
453,O Mine Enemy,2021,Harry Potter & Severus Snape,Gen,"When Harry finds an injured Snape on his doorstep and must hide him from the Dursleys, he has no idea that this very, very bad day will be the start of something good.Harry and Snape are thrown together by annoying relatives, a series of strange dreams, and Voldemort's latest hunt for Harry, but their greatest challenge may well be surviving each other. This will be a long summer unless the two can find a way to work together. A slow-burn enemy-to-mentor story.Alternate 6th summer (and part of the school year): post-OotP; ignores HBP and DH. No slash, no romance. NOW COMPLETE!",English,"373,223","1,970",61/61,"9,640","3,528","378,384"
454,Once a Fool,2014,Draco Malfoy/Harry Potter,M/M,"Harry always held the hope that Draco would come back, and now he had, just not in the way Harry would’ve imagined. Draco had clearly moved on, judging by the three year old clutched to his legs.",English,"7,309",75,1/1,"9,633","1,173","128,076"
455,Chase the Chill Away,2021,Harry Potter/Steve Rogers,M/M,"Steve's carried the first words his soulmate would ever say to him since the day he'd been born. He'd always assumed that waking up in the future meant he'd missed the chance to meet them, and while disappointing, was pretty much what he expected of his life at this point.He assumed wrong.",English,"4,468",163,2/2,"9,614",874,"131,127"
456,Harry's Years,2018,Harry Potter & Severus Snape,M/M,What if things didn't go the way Dumbledore had hoped at the Dursley residence?,English,"25,409",854,12/12,"9,607","1,820","189,999"
457,My Name is Cameron Sage,2008,Harry Potter/Severus Snape,M/M,"Things are going poorly for the side of the light, and in a last-ditch effort to fulfill his destiny, Harry goes back in time to try again.",English,"41,891",290,19/19,"9,603","2,225","130,029"
458,unexpected,2021,Hermione Granger/Draco Malfoy,F/M,"Hand drifting down to her abdomen, she knew. When she was younger, she’d known that there was something different about her. About her abilities. Her certainty had been palpable, and was only confirmed when Professor McGonagall had shown up on her doorstep with that fateful letter in hand. And now, just over ten years later, she felt that same sense of certainty again.She was pregnant.And it all because she’d gone and had a one night stand with the worst person in the world… Draco Malfoy.",English,"66,880",717,13/13,"9,588","2,647","242,317"
459,Let's talk sugar,2019,Harry Potter/Tom Riddle,M/M,In which Harry Potter may or may not be a sugar baby (jk he totally is),English,"2,258",98,1/1,"9,571","1,481","67,209"
460,Visions of Doom,2017,Sirius Black/Severus Snape,F/M,Severus gets injured in the shrieking shack (his fifth year). While unconscious he witnesses some scenes from his future and realizes becoming a death eater wouldn’t bring him power and glory but pain and servitude. He spends the rest of his schooling trying to shape a different future for himself.,English,"164,893","3,690",107/107,"9,566","2,097","291,715"
461,In His Nature,2015,Draco Malfoy/Harry Potter,M/M,"Harry agreed to have sex with Draco once a month in order to keep him alive, what he didn’t agree to was Draco popping up all over the place and disrupting his life in more ways than one.",English,"20,585",166,1/1,"9,559","1,718","144,570"
462,Corruption,2024,Harry Potter/Tom Riddle,F/M,"Hera Potter is the girl who lived, preparing to die at the hands of Voldemort in the Forbidden Forest.Dark love story.AU-Voldemort wins.No redemption.*** FINISHED STORY ***Last updated: 12.06.2024",English,"155,589","1,927",45/45,"9,548","1,302","242,212"
463,Second Chances,2014,Harry Potter/ Voldemort,M/M,"Fate decides to play with Harry's life again, giving him a chance at a family but with the most shocking father for his child. After the Order lock him up Harry flees to the father where they both may get a second chance.",English,"100,607",488,19/19,"9,548","3,136","412,386"
464,The Last Black,2020,Kaminari Denki/Shinsou Hitoshi,M/M,"Of course a goblin would be the one to tell Harry that he had a surviving family member. His life never made sense, so he really shouldn't have expected assuming the Lordship of the House of Black to be easy.And of course the last surviving Black wouldn't make Harry's life easy, either.",English,"93,904","1,571",18/18,"9,532","3,049","162,565"
465,Promised,2018,Original Percival Graves/Newt Scamander,M/M,"Omegas have to be arranged to marry young Newt learns. When they go into heat their bodies need to mate, need an alpha to sooth the ache or it won't go away.So Newt's parents chose Percival for him and sometimes people think it's cruel but Newt never had, it had been a comfort, to know Percival was waiting for him.",English,"40,906",328,3/3,"9,518","2,343","202,815"
466,Harry Potter and the Monster of Slytherin,2017,N/A,No category,"Harry's second year at Hogwarts School of Witchcraft and Wizardry is already looking to be more complicated than the first. He has a place in Slytherin House, but it's by no means secure; he's still feuding with his father and his twin brother; he still has a problem with trusting authority.On top of that, there are whispers of dark things coming to Hogwarts, and as much as Harry might like to stay out of it, he probably won't be able to. Especially since he's the Slytherin Potter.",English,"101,251",607,10/10,"9,516",777,"201,167"
467,"This, Too, Is Sacred",2019,Hermione Granger/Draco Malfoy,F/M,"An ancient power has required generations of purebloods to pledge their lives to the blood pact. Draco has long known he was born to uphold this tradition; but Hermione's parents have secrets, hidden details about her heritage… and soon it will be her turn to cast in with fate. Dramione AU",English,"86,041","1,902",23/23,"9,497","3,240","274,120"
468,The Art of Self-Fashioning,2017,Minerva McGonagall & Harry Potter,Gen,"In a world where Neville is the Boy-Who-Lived, Harry still grows up with the Dursleys, but he learns to be more private about what matters to him. When McGonagall comes to give him his letter, she also unwittingly gives Harry both a new quest and a new passion: Transfiguration. But while Harry deliberately hides his growing skills, Minerva worries more and more about the mysterious, brilliant student writing to her who may be venturing into dangerous magical territory.",English,"283,934","2,641",65/65,"9,496","2,756","295,698"
469,The Farland Files,2021,Harry Potter/Tom Riddle | Voldemort,Multi,"Lord Voldemort stared at the cradle, blinking slowly in a way that some would compare to a reptile. There was not one, but two children where he had only been expecting one. Staring down at them, he lost his snake-like glamour and leaned forward. “Which one of you… is my supposed death?”OrAlbus Dumbledore’s warnings came to fruition.",English,"263,420","2,752",67/67,"9,494","2,949","349,575"
470,For Now You Love Me,2017,Regulus Black/James Potter,M/M,"It just sort of happens. The way it spills out at dinner. ""I'm dating James Potter."" Sirius, of course, refuses to believe James and Regulus could ever be a thing. And he's determined to find out the truth.",English,"14,068",152,5/5,"9,474","1,394","106,636"
471,Murmuration,2020,Harry Potter/Tom Riddle | Voldemort,M/M,"Exhausted and anemic from Umbridge's Blood Quill, Harry decides to relieve stress by writing Voldemort a parody of a letter, intimating that Harry wouldn't mind if Voldemort murdered Umbridge(not that he'd ever send it, of course). In a series of events culminating in Voldemort receiving that letter, Harry discovers what it means to request the aid of a possessive Dark Lord.",English,"6,452",251,3/3,"9,459","1,816","75,707"
472,The Full Monty,2017,Draco Malfoy/Harry Potter,M/M,Harry poses for a naked Auror calendar and Draco goes batshit crazy with lust.,English,"9,860",399,1/1,"9,452","1,673","129,736"
473,Muggle Studies is Economics in Disguise,2022,Harry Potter/Tom Riddle,M/M,"Dumbledore’s train when he dies brings him to an alternate universe with Tom Riddle asking for the defense post. There, he rights his wrongs and hires Tom Riddle as a Defense Professor to keep him from becoming Voldemort. It works. (Mostly.) Canon!Harry does the same unintentionally when he is a Firm Adult and stumbles into this AU Hogwarts hoping to teach defense. He cannot bc Tom. There is only teaching one spot available: Muggle Studies. Chaos ensues as Muggle Studies becomes everyone’s favorite class and gains a reputation as the most difficult course at Hogwarts. Tom Riddle is enraged, concerned, and… turned on?",English,"11,835",502,5/5,"9,426","2,458","73,421"
474,Power and Control,2018,Harry Potter/Tom Riddle,M/M,"“Mr. Riddle,” Potter said softly. “I’m surprisedyouknow who I am.”His face remained docile, his eyes for a moment looked down, as if maintaining eye contact with a man as handsome as Tom Riddle was too much for his chastity. But before he casted his eyes down, Tom thought he saw something flash—amusement, as if he knew exactly why Riddle would know everyone at the ball.Interesting.",English,"5,576",172,1/1,"9,409","1,121","95,388"
475,"This Christmas, I Give You My Everything",2017,Draco Malfoy/Harry Potter,M/M,"“I didn’t mean to imply that I wouldn’t risk it for you.”“I see. Because you would? Risk it for me, I mean?”Harry’s reply comes out a growl, his arms tightening around Malfoy. “I’d risk everything for you and you bloody well know it.”This holiday season, Harry decides to claim the gift he wants more than anything else.",English,"5,915",293,1/1,"9,408","1,603","113,993"
476,Recursion,2023,Draco Malfoy/Harry Potter,M/M,"A process is recursive when it defines or contains itself; e.g., the Fibonacci sequence, which determines the next number as the sum of the previous two.But not all recursive processes are mathematical. Recursion can happen in a temporal context when, for instance, the powerful magical force that is true love drags you back in time so it can create itself, endangering the fate of the Wizarding World—not to mention the very fabric of space and time—along the way.",English,"132,526","1,731",24/24,"9,398","3,149","200,168"
477,A Present,2014,Draco Malfoy/Harry Potter,M/M,Sometimes you just have to give yourself a present and kiss Harry Potter.,English,"1,230",96,1/1,"9,390",637,"81,399"
478,More Marvellous-Cunning Than Mortal Man's Pondering,2020,Goblins & Harry Potter,Gen,"The second half of goblin-raised Harry’s third year and the first half of his fourth year at Hogwarts. Harry is a proud participant in the next goblin rebellion, getting justice for his godfather, freeing artifacts who shouldn’t have to be enslaved to humans, and creating alternatives to silly human traditions.",English,"25,942",515,5/5,"9,383",504,"84,734"
479,Light in August,2017,Sirius Black/Remus Lupin,M/M,"Summer, 1977. With the full moon approaching, Sirius heads up to the Lupins' countryside cottage to make himself useful. Or to make a complete and utter arse out of himself, because really, that's all he can seem to do around Remus these days.",English,"21,104",332,1/1,"9,368","2,905","127,760"
480,Fruit of the Golden Tree,2018,Euphemia Potter/Fleamont Potter,Gen,"Thanks to the desperate actions of his wife, Fleamont Potter survived his dragonpox. Now he finds himself awake again in a world where all the members of his family are supposedly dead—except that the Potter family tree tells him that his grandson lives yet. Fleamont sets out on a search for his grandson, and then a quest to keep him safe once he’s found him.",English,"11,884",422,3/3,"9,367","1,413","95,981"
481,Sexplanations (Of the Horrible Sort),2018,Draco Malfoy/Harry Potter,M/M,"Harry's willing to put up with a certain amount of injury, as long as he and Malfoy can keep doing... whatever it is they're doing. Maybe. Mostly.Especially if there might be more to it than sex.Based on a tumblr headcanon.",English,"7,048",399,1/1,"9,360","1,433","99,245"
482,"God of Mischief, Master of Death",2024,N/A,Gen,"Loki gets a chance to change everything. The Norns, having become tired of Odin's meddling in the Weave, have decided enough is enough. Death sees this as a chance to plead their case, asking for Loki to go through the trials needed to become the Master of Death. In order to stop Thanos, Loki would agree to anything, knowing what is coming, and so he does. Hera Potter grows up not knowing who she'd been, what she is expected to go through, or that she's already fighting for something greater than herself. As the barriers fall between this life and the last, Hera will have to navigate through who she was to stay who she is. She was Loki once, but she is more than that now, and she will fight to keep it and the life she's made. If that means flinging her soul across time and space, or using the knowledge she has to navigate through a future she should not know, she'll do it. Who is Thanos to threaten everything she loves? Who is Dumbledore to think a child should be responsible to win a war? And where does Odin get off thinking he had any say at all?",English,"449,022","7,119",130/130,"9,356","2,730","609,101"
483,The Hogwarts Potions Professor,2019,Minerva McGonagall & Severus Snape,Gen,"An exploration of what a strict, unapproachable, safety-conscious potions teacher MIGHT have been like.Featuring homework feedback, discussions between teachers, and a growing awareness that Potter is not quite what Severus was expecting...",English,"11,191",885,22/22,"9,343","1,361","157,725"
484,Genius ,2020,Harry Potter/Tom Riddle,F/M,"Harry Potter, as the eldest brother of the Girl-Who-Lived, has always felt like the average person in his family of geniuses. He has a plan that might change that, but meanwhile, he has to contend with his partially estranged family as he attends his sister’s wedding. And contend, too, with his sister’s fiancé, Tom Riddle.",English,"44,975",775,7/7,"9,333","2,140","117,515"
485,second chances,2023,Regulus Black/James Potter,M/M,"when Regulus is hit with a rogue spell that sends him back to a 6-year-old, Sirius is forced to face their adversities and grow past their animosity.",English,"34,439",617,10/10,"9,326","2,176","167,852"
486,Ba,2022,Harry Potter/Tom Riddle | Voldemort,M/M,"Horror strikes him down where he stands, then. He sways, stumbles to put his back to the living room wall. Harry is woozy in disbelief, watching the two words slashed into his chest in livid red just like the scar on his forehead. ‘AVADA KEDAVRA.’He knows those words, the first he can remember, his earliest memory. It feels like he hasn’t breathed in minutes. When he comes back to the moment, he finds that perhaps he hasn’t. Harry gasps for air like a fish does for water, and doesn’t find it. His back has slid down the wall somehow and his hands grip his head, hair clenched in fists.Then he realizes he’s actually panting, a ringing in his ears, blocking out whatever it is people are saying to him. Hermione crouches in front of him where he can’t possibly miss her, palms settling gently on his knees.“Harry,” she’s saying. “Harry, it’s going to be alright.”How?How can it ever possibly be alright again?-In a world where the first words you ever speak to your soulmate appear once both soulmates have turned seventeen, Harry receives a bit of bad news.ORIn which Harry fashions himself into a war bride.",English,"72,000",903,6/6,"9,314","2,711","179,961"
487,Draco Black and the Bastard Dragon,2022,Draco Malfoy/Harry Potter,F/F,"Draco has seen and done terrible things to protect those he cares about, Harry Potter most of all. He has made a vow for the sake of his beloved godfather that will test him to the very core. But even he is unprepared for the challenges the war will provide him and those he loves, as he must finally confront the one he fears the most in the world: Bellatrix Lestrange.On a quest to find the final Horcruxes and destroy them, Draco's path will go awry, and take him on a journey back to where everything began. To the truth of his past. To the legacy of the Daughters' Mirrors and their joining. To the Mirror of Ecidyrue.",English,"188,608","2,475",33/33,"9,312",939,"232,543"
488,A Short Summary of Things That Are James Potter's Fault,2013,Sirius Black/Remus Lupin,M/M,"In which the mistletoe is hexed, Remus would rather not spend the night in a broom cupboard, and several things are James Potter's fault.",English,"2,205",49,1/1,"9,309",889,"93,785"
489,Hot for Teacher,2017,Hermione Granger/Draco Malfoy,F/M,"Draco is a single dad trying to raise a teenager on his own. When he notices his son's newfound interest in girls, he takes it upon himself to give him some fatherly advice. Little does he know that his son's crush is none other than his own childhood nemesis, who has taken up the post of Defense Against the Dark Arts Professor at Hogwarts. Draco tries to juggle awkward situations, parenthood, and his own budding interest in Hermione Granger. COMPLETE!Finalist for ""After All This Time?"" Spring 2017 Dramione Fanfiction Awards for ""Best Fluffy/Humor Fic""WINNER for Best Comedy, Summer 2017 Enchanted Awards!WINNER for Best Professor Era fic, 2018 Granger Enchanted Awards!WINNER for Best Professor Era fic, 2018 Beyond the Nook Fanfiction Awards!",English,"61,722","2,017",26/26,"9,294","2,936","356,998"
490,The Chamber of Secrets and Half the Adults are Idiots,2018,Harry Potter/Draco Malfoy,F/F,"So this is based on a tumblr prompt by Mauraders4evr (https://www.tumblr.com/dashboard/blog/marauders4evr)""Harry Potter AU where Harry is hiding in the cabinet in Borgin and Burkes. And he sees Lucius grab Draco with his cane. And he hears the hiss, “What did I tell you?” And he hears the quiver in the blonde boy’s voice, “Don’t touch anything.”And Harry knows.Because he’s used the voice that Draco uses for the past twelve years.He knows.Because now that he’s lived with the Weasleys for over a month, he knows that that’s not the way that a father’s voice should be.He knows...""And it wouldn't leave me alone so...",English,"42,832","1,664",33/33,"9,292","1,194","227,736"
491,A Life Worth Living,2022,Harry Potter/Peter Hale,M/M,Stiles doesn't wait for Scott to come through with the bullet (S1 Ep 4) instead he goes to someone he knows he can trust Derek in tow...which is proven time and time again as his savior continues to come through for him. What would happen if Stiles was told about his spark straight from the start? With the aid of someone who can show him what he can do?,English,"342,088","2,646",62/62,"9,280","3,017","445,561"
492,Fixing It,2020,Harry Potter & Tom Riddle,M/M,What happens when abuse goes to far? How does Severus and Tom become Harry's family with the Malfoy and Poppy helping?,English,"39,948",858,19/19,"9,277","2,266","294,906"
493,You Were Crushed (Just Like Me),2016,Draco Malfoy/Harry Potter,M/M,"Something finally comes of Harry's embarrassing crush on Malfoy. (Well, two somethings. Someones. Whatever. Also all of Harry's friends are terrible.)",English,"4,964",231,1/1,"9,272","1,078","97,240"
494,Seven Steps,2019,Draco Malfoy/Harry Potter,M/M,"It started with just seven steps to try and win Potter's affection, but life and relationships are rarely as easy as a checklist on a piece of parchment.",English,"134,003","1,480",43/43,"9,269","2,256","187,021"
495,Harry Potter and the Center of the Maze,2018,I'm not going to say because you get to be surprised,F/F,"It is Harry Potter's fourth year at Hogwarts School of Witchcraft and Wizardry. With international politics, someone out to kill Jules Potter, the Boy Who Lived, and Slytherin House's internal drama, this year seems pretty standard.Admittedly, the last time there was a dragon anywhere near Hogwarts, it fit in Hagrid's hut and didn't pose much of a danger to anyone. Who thought the Triwizard Tournament was appropriate for teenagers?",English,"215,633","2,169",22/22,"9,268",742,"279,522"
496,A Plan of Deepest Subtlety and Cunning,2020,Harry Potter & Slytherin Students,Gen,"When Harry Potter is Sorted into Slytherin and yet maintains his friendship with Ron Weasley, Draco and the other first-year Slytherins become aware that Potter must have a plan under that mop of hair. One so deep and subtle that the adults can’t fathom it. Buttheycan, and they shall follow Potter into victory, because someday he’ll reveal that plan to them.",English,"6,747",182,1/1,"9,258","1,741","90,465"
497,Draco Malfoy and the Year When Everyone Suddenly Paid Attention to Him,2020,Draco Malfoy/Harry Potter,M/M,"By the start of his sixth year at Hogwarts, Draco had sort of gotten used to slipping under the radar of his fellow students. It was a natural side-effect of being a member of the closest circle of The Boy Who Lived, newly dubbed The Chosen One. So it was a bit of an understatement to say that he was surprised to have eyes followinghimdown the corridors now, especially when one of those pairs was familiar and piercingly green.",English,"70,441","3,109",15/15,"9,257",643,"168,404"
498,"The Barista, the Burglar, and the Sofa",2018,Sirius Black/Remus Lupin,M/M,"This is the story of twenty-three year old Remus Lupin, an overworked graduate student and underpaid barista, who comes home one day to find an exceptionally attractive man has broken into his flat. Given the neighborhood he lives in, that isn’t a huge surprise. He is surprised, though, when the burglar comes back with a sofa.Alternatively, this is the story of how Sirius Black tries to seduce a man by slowly furnishing his flat.",English,"21,344",396,1/1,"9,252","2,523","106,087"
499,Something I Don't Want to Stop,2013,Draco Malfoy/Harry Potter,M/M,"It's Harry and Draco's eighth year, the Houses have been all but demolished in favor of unity, and they're being forced to room together. How ever will they cope?",English,"16,228",131,1/1,"9,246","1,567","175,823"
500,An Inconvenient Path,2022,Harry Potter & Severus Snape,Gen,"When Harry Potter's Hogwarts letter raises red flags for Severus Snape, he delivers the letter instead of letting Dumbledore handle it. Severus does not see a miniature James Potter when he encounters the scrawny child, drowning in clothes that don't fit and holding himself carefully away from his aunt like she might strike him at any moment. Severus is reminded only of himself.Severus's choice to rescue Harry might damn him when Voldemort returns, or it might change everything.",English,"148,498","3,228",58/58,"9,244","2,365","306,116"
501,Roar,2017,Original Percival Graves/Newt Scamander,M/M,After Graves' fourth escape attempt Grindelwald decides that turning the man into a magical creature - a process thought to be impossible to reverse - will take care of the problem quite nicely. Too bad he didn't anticipate Newt Scamander.,English,"62,484","1,288",10/10,"9,236","2,365","130,558"
502,Second Chances,2022,Draco Malfoy/Harry Potter,F/M,"Harry, Hermione and George are struggling, their lives not what they envisioned post winning the war.The ministry hasn’t changed, it’s still as corrupt as ever, George never recovered from Fred’s death and both Harry and Hermione are facing divorce in each of their marriages.Hermione has a plan, it’s risky and could kill them: go back and do it all again, only better and saving certain lives along the way.",English,"118,341","1,148",40/40,"9,231","2,593","265,109"
503,Scorpius Malfoy's Future Wife,2014,Scorpius Malfoy/Albus Severus Potter,M/M,"Albus Potter and Rose Weasley's parents have a bet on who Scorpius Malfoy is going to marry. If it's Lily, they will be just like Ginny and Harry; If it is Rose, they'll be just like Ron and Hermione. Harry witnesses the answer.",English,"1,802",176,1/1,"9,225",664,"76,277"
504,Love In A Time Of The Zombie Apocalypse,2022,Hermione Granger/Draco Malfoy,F/M,"After Voldemort, there was this. The clock is ticking to create a cure to the unimaginable horror that currently grips the world. Hermione finds herself unwillingly allied with the most hated man in Wizarding Britain. (Alternate ending: 'La Vie En Rose', Audiobook by ETL.Echo.Audiobooks).",English,"356,295","2,887",84/84,"9,216","4,923","762,643"
505,Blends,2016,Sirius Black/Remus Lupin,M/M,"Words got in the way sometimes, but Remus got the sense Sirius knew what he was trying to say.-Another coffee shop au.",English,"192,280","1,662",22/22,"9,213","3,342","389,649"
506,Serpent's Ascending,2022,Harry Potter/Tom Riddle,M/M,"Harry was seven when he first met Voldemort. The Dark Lord was less than a wraith, but he could see the potential in Harry, a darkness that begged to be nourished. Now his mentor, Voldemort shows Harry the true beauty of the wizarding world and the finer workings of the Dark Arts. Will Hogwarts be ready for this changed Harry? Will the Wizarding World?",English,"326,008","3,161",73/73,"9,207","2,216","450,805"
507,Boredom and Secrets,2024,Harry Potter/Voldemort,M/M,"A very bored Harry Potter starts writing to the Dark Lord over the summer after his fifth year at Hogwarts. An equally bored Voldemort decides to write back. And thus, a summer of secrets is born, and the enemy named boredom is fended off.",English,"43,593","3,004",61/61,"9,204","1,835","185,811"
508,A Step to the Right,2019,Hermione Granger/Harry Potter,F/M,"When Harry saves Hermione's life, they find themselves in a different world and in the middle of another magical war - but at least they have each other.",English,"64,006","1,435",14/14,"9,193","2,799","203,922"
509,Amortentia,2019,Harry Potter/Severus Snape,M/M,"A few years after they married, Harry discovers Ginny has been dosing him with Amortentia the whole time. He goes to Snape for help to reverse the effects.",English,"21,057",318,1/1,"9,177","1,770","77,833"
510,Beastspeaker,2017,Original Percival Graves/Newt Scamander,M/M,or: Five times Graves talked to a magical creature and one time he told someone he could.Graves can speak to magical beasts. This wasn't particularly a problem until a magizoologist with a suitcase-full stumbled into his life.,English,"17,623",212,1/1,"9,175","2,241","72,241"
511,Candy,2017,Draco Malfoy/Harry Potter,M/M,It was only after careful consideration that Draco came to the wildly preposterous conclusion that he and Potter were actually friends.Sweet fic. May cause cavities.,English,"5,858",186,1/1,"9,173","1,213","85,438"
512,Kept Man,2019,Harry Potter/Tom Riddle,M/M,"Harry Evans is a lowly Dark Patrol wizard who’s working hard to advance. He doesn’t think much of Senior Undersecretary to the Minister Tom Riddle, but on the other hand, a one-night stand that lets them both get rid of tension seems like a good idea. Except that the one night-stand never seems to end.",English,"18,803",248,4/4,"9,172","2,115","101,772"
513,Size Matters,2013,Sirius Black/Remus Lupin,M/M,It was an inside joke among the four Marauders that werewolves were well-endowed. Remus has a big problem. Sirius can’t help himself.,English,"3,422",46,1/1,"9,170",882,"162,203"
514,Eclipse,2012,Draco Malfoy/Harry Potter,M/M,"""You're dead, Potter... I'm going to make you pay...""Draco swore his revenge on Harry for Lucius's imprisonment, and Harry all but laughed at him. But Draco is planning more than schoolyard pranks this time. The old rivalry turns deadly when Draco abducts Harry for Voldemort. It's the perfect plan, guaranteeing revenge, power, and prestige, all in one blow. But when Draco's world turns upside down, the fight to save himself and Harry begins, and the battle will take them both through hell and back. If they come back.",English,"287,239","1,037",20/20,"9,166","3,058","372,662"
515,Aparecium,2020,Hermione Granger/Draco Malfoy,F/M,"Hermione Granger has been away from London for six and a half years. When she returns, her son in tow, she runs into the one person she was hellbent on avoiding.",English,"58,469","1,072",14/14,"9,159","2,579","271,745"
516,All Roads Lead Home,2015,Draco Malfoy/Harry Potter,M/M,Draco is strong-armed into spending the first Christmas after the War with the Weasleys. And Harry Potter.,English,"14,981",263,1/1,"9,157","2,059","94,750"
517,Second Chances,2021,Harry Potter/Fred Weasley/George Weasley,No category,"When Voldemort hits Harry with the AK in the forest, they both end up at Kings Cross, and instead of Dumbledore waiting for them, they find themselves faced with Death himself. And Death is not happy.",English,"110,457","1,396",66/66,"9,150","3,039","251,779"
